DepMap_ID,cell_line_name,CELL_LINE_NAME,alias,COSMIC_ID,sample_collection_site,Sanger_Model_ID
ACH-000016,SLR 21,SLR21,,,kidney,
ACH-000032,MHH-CALL-3,MHHCALL3,,,bone_marrow,
ACH-000033,NCI-H1819,NCIH1819,,,lymph_node,
ACH-000043,Hs 895.T,HS895T,,,fibroblast,
ACH-000049,HEK TE,HEKTE,,,kidney,
ACH-000051,TE 617.T,TE617T,,,soft_tissue,
ACH-000064,SALE,SALE,,,lung,
ACH-000068,REC-1,REC1,,,lymph_node,
ACH-000071,,HS706T,,,fibroblast,
ACH-000076,NCO2,NCO2,,,haematopoietic_and_lymphoid_tissue,
ACH-000077,MJ,MJ,,,haematopoietic_and_lymphoid_tissue,
ACH-000079,TE 125.T,TE125T,,,fibroblast,
ACH-000084,,MUTZ3,MUTZ3,,haematopoietic_and_lymphoid_tissue,
ACH-000089,NCI-H684,NCIH684,,,liver,
ACH-000093,Panc 05.04,PANC0504,,,pancreas,
ACH-000110,NCC-StC-K140,NCCSTCK140,,,stomach,
ACH-000119,Hs 863.T,HS863T,,,fibroblast,
ACH-000122,SUP-T11,SUPT11,,,bone_marrow,
ACH-000125,TO 175.T,TO175T,,,lymph_node,
ACH-000130,NALM-19,NALM19,,,haematopoietic_and_lymphoid_tissue,
ACH-000140,Pfeiffer,PFEIFFER,,,pleural_effusion,
ACH-000154,HS888T,HS888T,,,fibroblast,
ACH-000158,OCI-LY3,OCILY3,,,bone_marrow,
ACH-000165,,HS751T,,,fibroblast,
ACH-000166,Kasumi-6,KASUMI6,,,haematopoietic_and_lymphoid_tissue,
ACH-000170,PrEC LH,PRECLH,,,prostate,
ACH-000172,TM-87,TM87,TM87,,pleural_effusion,
ACH-000173,JHUEM-3,JHUEM3,,,endometrium,
ACH-000175,,TE159T,,,fibroblast,
ACH-000179,NCI-H1618,NCIH1618,,,bone_marrow,
ACH-000180,Hs 839.T,HS839T,,,fibroblast,
ACH-000185,,HS737T,,,fibroblast,
ACH-000194,Hs 934.T,HS934T,,,fibroblast,
ACH-000205,PK-59,PK59,,,liver,
ACH-000216,JH-EsoAd1,JHESOAD1,,,oesophagus,
ACH-000220,Mino,MINO,,,haematopoietic_and_lymphoid_tissue,
ACH-000224,,HS819T,,,fibroblast,
ACH-000229,,HS822T,Hs 822.T,,fibroblast,
ACH-000230,Hs 742.T,HS742T,,,fibroblast,
ACH-000239,HuG1-N,HUG1N,,,stomach,
ACH-000241,JK-1,JK1,,,haematopoietic_and_lymphoid_tissue,
ACH-000275,,HS834T,,,lymph_node,
ACH-000284,,HS840T,,,fibroblast,
ACH-000285,Toledo,TOLEDO,,,haematopoietic_and_lymphoid_tissue,
ACH-000288,BT-549,BT549,,905951,breast,SIDM00122
ACH-000297,NCI-H889,NCIH889,,,lymph_node,
ACH-000300,,SLR25,,,kidney,
ACH-000313,KMRC-3,KMRC3,,,kidney,
ACH-000321,MOLM-6,MOLM6,,,haematopoietic_and_lymphoid_tissue,
ACH-000325,SNU-620,SNU620,,,ascites,
ACH-000328,LN-215,LN215,,,central_nervous_system,
ACH-000333,JHOM-2B,JHOM2B,,,ovary,
ACH-000340,Hs 870.T,HS870T,,,fibroblast,
ACH-000385,SK-RC-20,SKRC20,,,kidney,
ACH-000388,NU-DHL-1,NUDHL1,,,lymph_node,
ACH-000398,RI-1,RI1,,,haematopoietic_and_lymphoid_tissue,
ACH-000413,,HS739T,,,fibroblast,
ACH-000418,SW 1353,SW1353,,,bone,
ACH-000419,KMS-28BM,KMS28BM,,,haematopoietic_and_lymphoid_tissue,
ACH-000453,MOLP-2,MOLP2,,,haematopoietic_and_lymphoid_tissue,
ACH-000455,LN-428,LN428,,,central_nervous_system,
ACH-000462,NALM-1,NALM1,,,haematopoietic_and_lymphoid_tissue,
ACH-000467,HCC-56,HCC56,,1290907,large_intestine,SIDM00597
ACH-000492,MUTZ-5,MUTZ5,,,haematopoietic_and_lymphoid_tissue,
ACH-000494,OELE,OELE,OEL(E),,ovary,
ACH-000513,SNU-1272,SNU1272,,,kidney,
ACH-000523,NCI-H1184,NCIH1184,H1184,,lymph_node,
ACH-000526,Hs 821.T,HS821T,,,fibroblast,
ACH-000529,T1-73,T173,,,fibroblast,
ACH-000531,,RS5,,,fibroblast,
ACH-000533,NCI-H2004 RT,NCIH2004RT,,,soft_tissue,
ACH-000553,Sq-1,SQ1,,,lung,
ACH-000564,KHM-1B,KHM1B,,,pleural_effusion,
ACH-000598,KMS-21BM,KMS21BM,,,haematopoietic_and_lymphoid_tissue,
ACH-000602,M-07e,M07E,,,haematopoietic_and_lymphoid_tissue,
ACH-000612,,HUT102,,,lymph_node,
ACH-000629,,IOMMLEE,IOMM-LEE,,central_nervous_system,
ACH-000634,LN-340,LN340,,,central_nervous_system,
ACH-000635,SNU-119,SNU119,,,ascites,
ACH-000642,HMEL,HMEL,,,breast,
ACH-000645,JL-1,JL1,,,pleura,
ACH-000685,L3.3,L33,,,lymph_node,
ACH-000709,KMRC-2,KMRC2,,,kidney,
ACH-000710,NCI-H854,NCIH854,,,lung,
ACH-000723,YD-10B,YD10B,,,upper_aerodigestive_tract,
ACH-000726,TE-14,TE14,,,oesophagus,
ACH-000728,KASUMI-2,KASUMI2,,,bone_marrow,
ACH-000737,NCI-H1385,NCIH1385,,,lymph_node,
ACH-000741,U-BLC1,UBLC1,,,urinary_tract,
ACH-000761,NUGC-2,NUGC2,,,lymph_node,
ACH-000797,HLF-a,HLFA,,,fibroblast,
ACH-000801,Hs 936.T,HS936T,,,skin,
ACH-000808,HuH28,HUH28,,,biliary_tract,
ACH-000813,T3M-10,T3M10,,,lung,
ACH-000837,NCI-H322,NCIH322,,,lung,SIDM00117
ACH-000845,NCI-H1373,NCIH1373,,,lung,
ACH-000850,Hs 698.T,HS698T,,,soft_tissue,
ACH-000854,OCI-MY5,OCIMY5,,,haematopoietic_and_lymphoid_tissue,
ACH-000870,NCI-H1930,NCIH1930,,,lymph_node,
ACH-000899,WM-88,WM88,,,skin,
ACH-000904,NCI-H2106,NCIH2106,,,lymph_node,
ACH-000908,SNU-520,SNU520,,,stomach,
ACH-000909,JHUEM-2,JHUEM2,,,endometrium,
ACH-000952,MDA PCa 2b,MDAPCA2B,,,bone,
ACH-001000,,1321N1,,,central_nervous_system,
ACH-001007,A673STAG2KO16,A673STAG2KO16,A673-STAG2-KO-16,,soft_tissue,
ACH-001008,A673STAG2KO45,A673STAG2KO45,A673-STAG2-KO-45,,soft_tissue,
ACH-001009,A673STAG2NT14,A673STAG2NT14,A673-STAG2-NT-14,,soft_tissue,
ACH-001010,A673STAG2NT23,A673STAG2NT23,A673-STAG2-NT-23,,soft_tissue,
ACH-001015,,AZ521,,,small_intestine,
ACH-001017,,BGC823,,,cervix,
ACH-001018,BJ hTERT,BJHTERT,,,fibroblast,
ACH-001037,CMK-86,CMK86,,,haematopoietic_and_lymphoid_tissue,
ACH-001042,COLO-704,COLO704,,,ascites,
ACH-001043,,COLO775,,,haematopoietic_and_lymphoid_tissue,
ACH-001045,,COLO849,,,lymph_node,
ACH-001047,,CORL51,,,pleural_effusion,
ACH-001052,D384,D384,,,central_nervous_system,
ACH-001055,D556,D556,,,central_nervous_system,
ACH-001066,,EWS834,,,bone,
ACH-001071,,GLC82,GLC-82,,cervix,
ACH-001078,HCC-1588,HCC1588,,,lung,
ACH-001079,,HCC1897,,,lung,
ACH-001087,HK-2,HK2,,,kidney,
ACH-001088,,HLC1,HLC-1,,pleural_effusion,
ACH-001093,,HS604T,,,lymph_node,
ACH-001097,,KARPAS384,,,haematopoietic_and_lymphoid_tissue,
ACH-001098,KCI-MOH1,KCIMOH1,,,pancreas,
ACH-001099,KD,KD,,,soft_tissue,
ACH-001100,,KHYG,"KHYG1, KHYG-1",,haematopoietic_and_lymphoid_tissue,
ACH-001109,KP-MRT-RY,KPMRTRY,,,soft_tissue,
ACH-001122,,MKL1,MKL-1,,lymph_node,
ACH-001123,,MKL2,MKL-2,,skin,
ACH-001130,MOTN-1,MOTN1,,,haematopoietic_and_lymphoid_tissue,
ACH-001132,,MTA,,,haematopoietic_and_lymphoid_tissue,
ACH-001134,MYLA,MYLA,,,haematopoietic_and_lymphoid_tissue,
ACH-001142,NHAHTDD,NHAHTDD,,,central_nervous_system,
ACH-001143,,NKL,,,haematopoietic_and_lymphoid_tissue,
ACH-001144,,OC315,,,ovary,
ACH-001146,,OCILY10,OCI-LY10,,lymph_node,
ACH-001147,,OCILY12,,,lymph_node,
ACH-001148,OCILY-13,OCILY132,,,bone_marrow,
ACH-001150,OUMS-27,OUMS27,,,bone,
ACH-001162,PCM6,PCM6,,,haematopoietic_and_lymphoid_tissue,
ACH-001163,Peds005T Susp,CCLFPEDS0001T,,,kidney,
ACH-001164,CCLF_PEDS_0003_T,CCLFPEDS0003T,,,soft_tissue,
ACH-001170,,PETA,,,skin,
ACH-001172,U-251 MG,U251MGDM,,,central_nervous_system,
ACH-001175,RCC-4,RCC4,,,kidney,
ACH-001187,,SF8657,,,skin,
ACH-001194,SK-RC 31,SKRC31,,,lung,
ACH-001197,,SMZ1,SMZ-1,,ascites,
ACH-001200,STM91-01,STM9101,,,lung,
ACH-001201,SU-MB-002,SUMB002,SUMB002,,central_nervous_system,
ACH-001206,,TTC466,,,bone,
ACH-001207,TIG-3 TD,TIG3TD,,,fibroblast,
ACH-001224,,UMRC2,,,kidney,
ACH-001225,,UMRC6NEO,,,kidney,
ACH-001229,UPCI-SCC-154,UPCISCC154,"UPCISCC154, UPCI:SCC154",,upper_aerodigestive_tract,
ACH-001230,,UT7,,,bone_marrow,
ACH-001234,VMRC-LCP,VMRCLCP,,,lung,
ACH-001272,Fuji,FUJI,,,soft_tissue,
ACH-001279,SCCOHT-1,SCCOHT1,,,ovary,
ACH-001282,CHLA258,CHLA258,,,bone,
ACH-001310,HA1E,HA1E,,,kidney,
ACH-001347,H157,H157,,,upper_aerodigestive_tract,
ACH-001356,MB-1,MB1,,,thyroid,
ACH-001357,MCF 10A,MCF10A,,,breast,
ACH-001366,NGP,NGP,,,lung,
ACH-001370,OCI-P5x,OCIP5X,,,ovary,
ACH-001388,SUM-102PT,SUM102PT,,,breast,
ACH-001389,SUM-1315MO2,SUM1315MO2,,,skin,
ACH-001393,SUM-190PT,SUM190PT,,,breast,
ACH-001395,SUM-44PE,SUM44PE,,,pleural_effusion,
ACH-001397,SUM225CWN,SUM225CWN,,,breast,
ACH-001410,UM-UC-4,UMUC4,,,lymph_node,
ACH-001411,UM-UC-5,UMUC5,,,urinary_tract,
ACH-001419,VP229,VP229,VP229,,breast,
